# 
# ## Query file name:  
# GeneProduct-IDs.txt
# 
# ## DATA version:  
# RegulonDB v10.7	 ECOCYC: v23.5
# 
# ## File creation date:  
# [2020-06-30]
# 
# ## Dataset description:
# Information about Gene and IDs from Ecocyc and GenBank
#
# ## Columns description:  
# - REGULONDB_ID:    RegulonDB Gene Identifier
# - ECOCYC_ID :      Ecocyc Gene Identifier
# - BNUMBER  :       GenBank Identifier / Locus tag
# - GENE_NAME :      Gene name
# - GENE_SYNONYMS:   Gene synonyms
# - GENE_POSLEFT:    Absolute genome left position of the gene
# - GENE_POSRIGHT:   Absolute genome right position of the gene
# - GENE_STRAND:     Genome orientation [forward, reverse]
# - GENE_TYPE:       Type of the gene [ gene, pseudo gene, phantom gene]
# - PRODUCT_ID:    RegulonDB Identifier
# - PRODUCT_NAME:  Product name
# - PRODUCT_SYNONYMS:Product synonyms 
# - PRODUCT_TYPE:    Product type [tRNA, small RNA, ]
#
# ## Data file summary:  
#
#  The totals and the unix commands using this data file is indicated.
#
#   Data File lines: 4739         ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | wc -l ```
# 
#
#  GENES:
#  ------------
#   Total of genes:        4739   ```grep -v '^#' GeneProduct-IDs.txt | cut -f1 | grep ECK12 | wc -l```
#   Genes without Ecocyc ID: 29   ```grep -v '^#' GeneProduct-IDs.txt | cut -f2 | grep -e  "-$" | wc -l```
#   Genes without bnumber:   84   ```grep -v '^#' GeneProduct-IDs.txt | cut -f3 | grep -e  "-$" | wc -l```
#   Gene Type Totals     :        ```grep -v '^#' GeneProduct-IDs.txt | cut -f9 | sort | uniq -c```
#        Genes           4532  
#        Phantom Gene      61
#        Pseudo Gene      146
#   Genes with more than one product: 
#   ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | cut -f1 | sort | uniq -c | sort -nr | cut -c1-5 | sort | uniq -c```
#        4726    1     4725 genes with 1 product  ( 94 of them have not product)
#           7    2        7 genes with 2 products
#   Genes without product: 94
#    ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | perl -ne 'chomp; @F=split(/\t/,$_); if ($F[9] eq "-") { print "$F[0] $F[3] $F[8] $F[9]\n";} ' |wc```
#
# PRODUCTS:
# -------------- 
#   small RNA genes: 120 
#     ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | perl -ne 'chomp; @F=split(/\t/,$_); if ($F[12] eq "small RNA") { print "$F[0]\t$F[3]\t$F[12]\n";} |wc’```
#
#
# ## Comments:
# [Details to consider about the data]
# 
#  * Some genes have no Ecocyc-ID because they come from RegulonDB collaborators curation
#  * Some genes have no BNumber because the genes reported in the papers are not included in the Genbank File
#  * Some genes have more than one product
#  * The small RNA from the RegulonDB collaborator are marked as “small RNA” in the product type
#
# REGULONDB_ID	ECOCYC_ID	BNUMBER	GENE_NAME	GENE_SYNONYMS	GENE_POSLEFT	GENE_POSRIGHT	GENE_STRAND	GENE_TYPE	PRODUCT_ID	PRODUCT_NAME	PRODUCT_SYNONYMS	PRODUCT_TYPE
ECK120002182	|EG12303|	b1100	ycfH	ECK1086,EG12303,b1100	1156777	1157574	forward	 	ECK120006657	putative metal-dependent hydrolase YcfH	YcfH	 
ECK120000778	|EG10787|	b1101	ptsG	CR,ECK1087,EG10787,b1101,car,cat,catB2,glcA,gptA,tgl,umg,umgC	1157869	1159302	forward	 	ECK120005254	YnfM3'	Car,Cat,EIIB<sup>glc</sup>,EIIBC<sup>glc</sup>,Enzyme IIB<sup>glc</sup>,Enzyme IIBC<sup>glc</sup>,GlcA,GptA,PtsG,Tgl,Umg,UmgC,cr,glucose-specific PTS enzyme IIBC component	small RNA
ECK120000300	|EG10306|	b1102	fhuE	ECK1088,EG10306,b1102	1159362	1161551	reverse	 	ECK120004776	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	FhuE,ferric coprogen outer membrane receptor	 
ECK120002067	|EG12172|	b1103	hinT	ECK1089,EG12172,b1103,ycfF	1161885	1162244	forward	 	ECK120006543	purine nucleoside phosphoramidase	HinT,YcfF	 
ECK120003160	|G6564|	b1104	ycfL	ECK1090,G6564,b1104	1162247	1162624	forward	 	ECK120007619	DUF1425 domain-containing protein YcfL	YcfL	 
ECK120003161	|G6565|	b1105	lpoB	ECK1091,G6565,b1105,ycfM	1162638	1163279	forward	 	ECK120007620	outer membrane lipoprotein - activator of MrcB activity	LpoB,YcfM	 
ECK120003162	|G6566|	b1106	thiK	ECK1092,G6566,b1106,ycfN	1163260	1164084	forward	 	ECK120007621	thiamine kinase	ThiK,YcfN	 
ECK120003163	|G6567|	b1107	nagZ	ECK1093,G6567,b1107,ycfO	1164095	1165120	forward	 	ECK120007622	&beta;-N-acetylhexosaminidase	NagZ,YcfO,hexosaminidase	 
ECK120003164	|G6568|	b1108	ycfP	ECK1094,G6568,b1108	1165143	1165685	forward	 	ECK120007623	UPF0227 protein YcfP	YcfP	 
ECK120000642	|EG10649|	b1109	ndh	ECK1095,EG10649,b1109	1166085	1167389	forward	 	ECK120005118	NADH:quinone oxidoreductase II	NADH dehydrogenase II,NADH dhII,NADH-quinone reductase,NDH-2,NQR,Ndh	 
ECK120002297	|EG12444|	b1110	ycfJ	ECK1096,EG12444,b1110	1167599	1168138	forward	 	ECK120006772	PF05433 family protein YcfJ	YcfJ	 
ECK120003165	|G6569|	b1111	comR	ECK1097,G6569,b1111,ycfQ	1168200	1168832	reverse	 	ECK120007624	DNA-binding transcriptional repressor ComR	ComR,YcfQ	 
ECK120003166	|G6570|	b1112	bhsA	ECK1098,G6570,b1112,comC,ycfR	1169073	1169330	forward	 	ECK120007625	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	BhsA,ComC,YcfR,outer membrane protein involved in copper permeability, stress resistance and biofilm formation	 
ECK120003167	|G6571|	b1113	ldtC	ECK1099,G6571,b1113,ycfS	1169412	1170374	reverse	 	ECK120007626	L,D-transpeptidase LdtC	LdtC,YcfS	 
ECK120001567	|EG11619|	b1114	mfd	ECK1100,EG11619,b1114	1170518	1173964	reverse	 	ECK120006043	transcription-repair coupling factor	Mfd,TRCF	 
ECK120003168	|G6572|	b1115	ycfT	ECK1101,G6572,b1115	1174092	1175165	reverse	 	ECK120007627	inner membrane protein YcfT	YcfT	 
ECK120003169	|G6573|	b1116	lolC	ECK1102,G6573,b1116,ycfU	1175427	1176626	forward	 	ECK120007628	lipoprotein release complex - inner membrane subunit	LolC,YcfU	 
ECK120003170	|G6574|	b1117	lolD	ECK1103,G6574,b1117,ycfV	1176619	1177320	forward	 	ECK120007629	lipoprotein release complex - ATP binding subunit	LolD,YcfV	 
ECK120003171	|G6575|	b1118	lolE	ECK1104,G6575,b1118,ycfW	1177320	1178564	forward	 	ECK120007630	lipoprotein release complex - inner membrane subunit	LolE,YcfW	 
ECK120003172	|G6576|	b1119	nagK	ECK1105,G6576,b1119,ycfX	1178593	1179504	forward	 	ECK120007631	<i>N</i>-acetyl-D-glucosamine kinase	NagK,YcfX	 
ECK120003173	|G6577|	b1120	cobB	ECK1106,G6577,b1120,ycfY	1179520	1180359	forward	 	ECK120007632	protein-lysine deacetylase/desuccinylase	CobB,YcfY	 
ECK120003174	|G6578|	b1121	ycfZ	ECK1107,G6578,b1121	1180479	1181267	reverse	 	ECK120007633	putative inner membrane protein	YcfZ	 
ECK120003175	|G6579|	b1122	ymfA	ECK1108,G6579,b1122	1181264	1181725	reverse	 	ECK120007634	putative inner membrane protein	YmfA	 
ECK120000743	|EG10752|	b1123	potD	ECK1109,EG10752,b1123	1181783	1182829	reverse	 	ECK120005219	spermidine preferential ABC transporter periplasmic binding protein	PotD	 
ECK120000742	|EG10751|	b1124	potC	ECK1110,EG10751,b1124	1182826	1183620	reverse	 	ECK120005218	spermidine preferential ABC transporter membrane subunit PotC	PotC	 
ECK120000741	|EG10750|	b1125	potB	ECK1111,EG10750,b1125	1183617	1184444	reverse	 	ECK120005217	spermidine preferential ABC transporter membrane subunit PotB	PotB	 
ECK120000740	|EG10749|	b1126	potA	ECK1112,EG10749,b1126	1184458	1185594	reverse	 	ECK120005216	spermidine preferential ABC transporter ATP binding subunit	PotA	 
ECK120001503	|EG11549|	b1127	pepT	ECK1113,EG11549,b1127	1185844	1187070	forward	 	ECK120005979	peptidase T	PepT	 
ECK120001394	|EG11430|	b1128	roxA	ECK1114,EG11430,b1128,ycfD	1187119	1188240	reverse	 	ECK120005870	ribosomal protein-arginine oxygenase	RoxA,YcfD	 
ECK120000723	|EG10732|	b1129	phoQ	ECK1115,EG10732,b1129	1188316	1189776	reverse	 	ECK120005199	sensor histidine kinase PhoQ	PhoQ	 
ECK120000722	|EG10731|	b1130	phoP	ECK1116,EG10731,b1130	1189776	1190447	reverse	 	ECK120005198	DNA-binding transcriptional dual regulator PhoP	PhoP,PhoP response regulator	 
ECK120001285	|EG11314|	b1131	purB	ECK1117,EG11314,ade,ade(h),b1131	1190616	1191986	reverse	 	ECK120005761	adenylosuccinate lyase	Ade,PurB	 
ECK120001316	|EG11345|	b1132	hflD	ECK1118,EG11345,b1132,hslZ,ycfC	1191990	1192631	reverse	 	ECK120005792	lysogenization regulator	HflD,HslZ,YcfC	 
ECK120001315	|EG11344|	b1133	mnmA	ECK1119,EG11344,asuE,b1133,trmU,ycfB	1192667	1193773	reverse	 	ECK120005791	tRNA-specific 2-thiouridylase	AsuE,MnmA,TrmU,YcfB	 
ECK120003176	|G6580|	b1134	nudJ	ECK1120,G6580,b1134,ymfB	1193827	1194288	reverse	 	ECK120007635	phosphatase NudJ	NudJ,YmfB	 
ECK120003177	|G6581|	b1135	rluE	ECK1121,G6581,b1135,ymfC	1194298	1194951	reverse	 	ECK120007636	23S rRNA pseudouridine<sup>2457</sup> synthase	RluE,YmfC,ribosomal large subunit pseudouridine synthase E	 
ECK120000482	|EG10489|	b1136	icd	ECK1122,EG10489,b1136,icdA,icdE	1195123	1196373	forward	 	ECK120004958	isocitrate dehydrogenase	Icd,IcdA,IcdE	 
ECK120002608	|G0-8897|	-	C0293	G0-8897	1196714	1196786	forward	Phantom Gene	-	 	 	 
ECK120003178	|G6582|	b1137	ymfD	ECK1123,G6582,b1137	1196867	1197532	reverse	 	ECK120007637	e14 prophage; putative SAM-dependent methyltransferase	YmfD	 
ECK120003179	|G6583|	b1138	ymfE	ECK1124,G6583,b1138	1197533	1198237	reverse	 	ECK120007638	e14 prophage; uncharacterized protein YmfE	YmfE,e14 prophage; putative inner membrane protein	 
ECK120000528	|EG10535|	b1139	lit	ECK1125,EG10535,b1139	1198695	1199588	forward	 	ECK120005004	e14 prophage; cell death peptidase Lit	Lit,Lit, cell death peptidase; phage exclusion	 
ECK120002238	|EG12370|	b1140	intE	ECK1126,EG12370,b1140,int(Lambda),ycfI	1199679	1200806	reverse	 	ECK120006713	e14 prophage; putative integrase	IntE,YcfI	 
ECK120003180	|G6585|	b1141	xisE	ECK1127,G6585,b1141,ymfG	1200787	1201032	reverse	 	ECK120007639	e14 prophage; putative excisionase	XisE,YmfG	 
ECK120003181	|G6586|	b1142	ymfH	ECK1128,G6586,b1142	1201069	1201380	reverse	 	ECK120007640	e14 prophage; putative protein YmfH	YmfH	 
ECK120003182	|G6587|	b1143	ymfI	ECK1129,G6587,b1143	1201497	1201838	forward	 	ECK120007641	e14 prophage; uncharacterized protein YmfI	YmfI	 
ECK120003183	|G6588|	b1144	ymfJ	ECK1130,G6588,b1144	1201776	1202084	reverse	 	ECK120007642	e14 prophage; uncharacterized protein YmfJ	YmfJ	 
ECK120003184	|G6589|	b1145	ymfK	ECK1131,G6589,b1145,cohE	1202259	1202933	reverse	 	ECK120007643	e14 prophage; putative repressor protein YmfK	CohE,YmfK	 
ECK120003185	|G6590|	b1146	ymfT	ECK1132,G6590,b1146,croE	1203024	1203224	forward	 	ECK120007644	e14 prophage; putative DNA-binding transcriptional regulator YmfT	CroE,YmfT	 
ECK120003186	|G6591|	b1147	ymfL	ECK1133,G6591,b1147	1203268	1203825	forward	 	ECK120007645	e14 prophage; uncharacterized protein YmfL	YmfL,e14 prophage; putative DNA-binding transcriptional regulator	 
ECK125203392	-	-	nc10	 	1203678	1203886	reverse	 	ECK125203393	Nc10	 	small RNA
ECK120003187	|G6592|	b1148	ymfM	ECK1134,G6592,b1148	1203822	1204160	forward	 	ECK120007646	e14 prophage; uncharacterized protein YmfM	YmfM	 
ECK120003188	|G6593|	b1149	ymfN	ECK1135,G6593,b1149	1204170	1205537	forward	 	ECK120007647	e14 prophage; chimeric replication protein/phage terminase YmfN	YmfN,e14 prophage; phage terminase-like protein YmfN,e14 prophage; putative DNA-binding transcriptional regulator	 
ECK125276500	|G0-16719|	b4692	oweE	ECK4507,G0-16719,b4692	1204170	1204403	forward	Pseudo Gene	ECK125276576	phage replication protein	 	 
ECK125276503	|G0-16720|	b4693	aaaE	ECK1135,G0-16720,b4693	1204401	1205537	forward	Pseudo Gene	ECK125276567	phage terminase	 	 
ECK120003189	|G6594|	b1150	ymfR	ECK1136,G6594,b1150	1205549	1205731	forward	 	ECK120007648	e14 prophage; IPR020297 domain-containing protein YmfR	YmfR	 
ECK120003190	|G6595|	b1151	beeE	ECK1137,G6595,b1151,ymfO	1205731	1206204	forward	 	ECK120007649	e14 prophage; protein BeeE	BeeE,YmfO	 
ECK120003191	|G6596|	b1152	jayE	ECK1138,G6596,b1152,ymfP	1206131	1206922	forward	Pseudo Gene	ECK120007650	e14 prophage; putative protein JayE	 	 
ECK120003192	|G6597|	b1153	ymfQ	ECK1139,G6597,b1153	1206913	1207497	forward	 	ECK120007651	e14 prophage; DUF2313 domain-containing protein YmfQ	YmfQ	 
ECK120002416	|EG12877|	b1154	ycfK	ECK1140,EG12877,b1154,stfP	1207501	1208130	forward	 	ECK120006891	e14 prophage; protein StfP	StfP,YcfK	 
ECK120003193	|G6598|	b1155	tfaP	ECK1141,G6598,b1155,ymfS	1208132	1208545	forward	 	ECK120007652	e14 prophage; putative tail fiber assembly protein TfaP	TfaP,YmfS	 
ECK120001104	|EG11120|	b1156	tfaE	ECK1142,EG11120,b1156,ycfA	1208517	1209119	reverse	 	ECK120005580	e14 prophage; putative tail fiber assembly protein TfaE	TfaE,YcfA	 
ECK120003194	|G6599|	b1157	stfE	ECK1143,G6599,b1157,ycfE	1209119	1209655	reverse	Pseudo Gene	ECK120007653	e14 prophage; putative side tail fiber protein fragment	 	 
ECK120000728	|EG10737|	b1158	pinE	ECK1144,EG10737,b1158,pin	1209685	1210239	forward	 	ECK120005204	e14 prophage; site-specific DNA recombinase	Pin,PinE	 
ECK120000566	|EG10573|	b1159	mcrA	ECK1145,EG10573,b1159,rglA	1210346	1211179	forward	 	ECK120005042	e14 prophage; 5-methylcytosine-specific restriction enzyme McrA	McrA,RglA,restriction of DNA at 5-methylcytosine residues	 
ECK120026447	|G0-10556|	b4519	icdC	ECK1146,G0-10556,b4519	1211413	1211577	forward	Pseudo Gene	ECK120026463	protein IcdC	 	 
ECK120003195	|G6600|	b1160	iraM	ECK1147,G6600,b1160,elb1,elbA,ycgW	1211680	1212003	reverse	 	ECK120007654	anti-adaptor protein IraM, inhibitor of &sigma;<sup>S</sup> proteolysis	ElbA,IraM,YcgW	 
ECK125276520	|G0-16733|	b4738	ymgK	ECK4595,G0-16733,b4738	1212260	1212304	reverse	 	ECK125276551	protein YmgK	YmgK	 
ECK125276530	|G0-16734|	b4739	ymgL	ECK4596,G0-16734,b4739	1212540	1212650	reverse	 	ECK125276547	protein YmgL	YmgL	 
ECK120003196	|G6601|	b1161	ycgX	ECK1148,G6601,b1161	1212703	1213107	reverse	 	ECK120007655	DUF1398 domain-containing protein YcgX	YcgX	 
ECK120003197	|G6602|	b1162	bluR	ECK1149,G6602,b1162,ycgE	1213328	1214059	reverse	 	ECK120007656	DNA-binding transcriptional repressor BluR	BluR,YcgE	 
ECK120003198	|G6603|	b1163	bluF	ECK1150,G6603,b1163,ycgF	1214264	1215475	reverse	 	ECK120007657	blue light-responsive regulator of BluR	Blrp,BluF,YcgF	 
ECK120003199	|G6604|	b1164	ycgZ	ECK1151,G6604,b1164	1215789	1216025	forward	 	ECK120007658	putative two-component system connector protein YcgZ	YcgZ	 
ECK120003200	|G6605|	b1165	ymgA	ECK1152,G6605,b1165	1216068	1216340	forward	 	ECK120007659	putative two-component system connector protein YmgA	YmgA,protein involved in biofilm formation	 
ECK120003201	|G6606|	b1166	ariR	ECK1153,G6606,b1166,ymgB	1216369	1216635	forward	 	ECK120007660	regulator of acid resistance, influenced by indole	AriR,YmgB	 
ECK120003202	|G6607|	b1167	ymgC	ECK1154,G6607,b1167	1216748	1216996	forward	 	ECK120007661	protein YmgC	YmgC,protein involved in biofilm formation	 
ECK120003203	|G6608|	b1168	pdeG	ECK1155,G6608,b1168,ycgG	1217328	1218851	forward	 	ECK120007662	putative c-di-GMP phosphodiesterase PdeG	PdeG,YcgG	 
ECK120015304	|G0-10261|	b4520	ymgF	ECK1156,G0-10261,b4520	1218983	1219201	forward	 	ECK120015308	inner membrane protein YmgF	YmgF,inner membrane protein that interacts with cell division proteins	 
ECK120003204	|G6609|	b4491	ycgH	ECK1157,G6609,b1169,b1170,b4491	1219601	1222248	forward	Pseudo Gene	ECK120007663	putative transporter component, N-terminal fragment	 	 
ECK120003206	|G6611|	b1171	ymgD	ECK1158,G6611,b1171	1222305	1222634	reverse	 	ECK120007665	PF16456 family protein YmgD	YmgD	 
ECK120003207	|G6612|	b1172	ymgG	ECK1159,G6612,b1172	1222644	1222988	reverse	 	ECK120007666	PF13488 family protein YmgG	YmgG	 
ECK120030073	|G0-10589|	b4593	ymgI	ECK4403,G0-10589,b4593	1222990	1223163	reverse	 	ECK120030100	uncharacterized protein YmgI	YmgI	 
ECK120030074	|G0-10590|	b4594	ymgJ	ECK4404,G0-10590,b4594	1223264	1223449	forward	 	ECK120030101	uncharacterized protein YmgJ	YmgJ	 
ECK120016296	|G0-10444|	b4521	ycgI	ECK1160,ECK1161,G0-10444,b1173,b4521,ymgH	1223564	1223907	forward	Pseudo Gene	ECK120016369	protein YcgI	 	 
ECK120000591	|EG10598|	b1174	minE	ECK1162,EG10598,b1174,minB	1224279	1224545	reverse	 	ECK120005067	Z-ring positioning protein MinE	MinB,MinE	 
ECK120000590	|EG10597|	b1175	minD	ECK1163,EG10597,b1175,minB	1224549	1225361	reverse	 	ECK120005066	Z-ring positioning protein MinD	MinB,MinD	 
ECK120000589	|EG10596|	b1176	minC	ECK1164,EG10596,b1176,minB	1225385	1226080	reverse	 	ECK120005065	Z-ring positioning protein MinC	MinB,MinC	 
ECK120003209	|G6614|	b1177	ycgJ	ECK1165,G6614,b1177	1226600	1226968	forward	 	ECK120007668	PF05666 family protein YcgJ	YcgJ	 
ECK120003210	|G6615|	b1178	pliG	ECK1166,G6615,b1178,ycgK	1227071	1227472	reverse	 	ECK120007669	inhibitor of g-type lysozyme	PliG,YcgK	 
ECK120003211	|G6616|	b1179	ycgL	ECK1167,G6616,b1179	1227681	1228007	forward	 	ECK120007670	PF05166 family protein YcgL	YcgL	 
ECK120003212	|G6617|	b1180	ycgM	ECK1168,G6617,b1180	1228079	1228738	forward	 	ECK120007671	putative isomerase/hydrolase	YcgM	 
ECK120003213	|G6618|	b1181	ycgN	ECK1169,G6618,b1181	1228815	1229276	forward	 	ECK120007672	PF03693 family protein YcgN	YcgN	 
ECK120003214	|G6619|	b1182	hlyE	ECK1170,G6619,b1182,clyA,hpr,sheA,ycgD	1229483	1230394	reverse	 	ECK120007673	hemolysin E	ClyA,HlyE,Hpr,SheA,YcgD	 
ECK120002609	|G0-8898|	-	C0299	G0-8898	1230629	1230707	forward	Phantom Gene	-	 	 	 
ECK120001046	|EG11057|	b1183	umuD	ECK1171,EG11057,b1183	1230767	1231186	forward	 	ECK120005522	DNA polymerase V protein UmuD	UmuD	 
ECK120001045	|EG11056|	b1184	umuC	ECK1172,EG11056,b1184,uvm	1231186	1232454	forward	 	ECK120005521	DNA polymerase V catalytic protein	UmuC,Uvm	 
ECK120001360	|EG11393|	b1185	dsbB	ECK1173,EG11393,b1185,dsbX,iarB,rosB,roxB,ycgA	1232500	1233030	reverse	 	ECK120005836	protein thiol:quinone oxidoreductase DsbB	DsbB,DsbX,IarB,RosB,RoxB,YcgA,quinone reductase DsbB	 
ECK120001359	|EG11392|	b1186	nhaB	ECK1174,EG11392,b1186	1233176	1234717	reverse	 	ECK120005835	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB	NhaB	 
ECK120000275	|EG10281|	b1187	fadR	ECK1175,EG10281,b1187,dec,ole,oleR,thdB	1234938	1235657	forward	 	ECK120004751	DNA-binding transcriptional dual regulator FadR	Dec,FadR,Ole,OleR,ThdB	 
ECK120001471	|EG11516|	b1188	ycgB	ECK1176,EG11516,b1188	1235709	1237241	reverse	 	ECK120005947	PF04293 family protein YcgB	YcgB	 
ECK120001373	|EG11407|	b1189	dadA	ECK1177,EG11407,b1189,dadR	1237571	1238869	forward	 	ECK120005849	D-amino acid dehydrogenase	DadA,DadR	 
ECK120001374	|EG11408|	b1190	dadX	ECK1178,EG11408,alnA,alnB,b1190,dadB	1238879	1239949	forward	 	ECK120005850	alanine racemase 2	AlnA,AlnB,DadB,DadX,alanine racemase 2, PLP-binding	 
ECK125276509	|G0-16735|	b4740	ymgM	ECK4597,G0-16735,b4740	1240260	1240463	forward	 	ECK125276543	protein YmgM	YmgM	 
ECK120003215	|G6620|	b1191	cvrA	ECK1179,G6620,b1191,ycgO	1240335	1242071	reverse	 	ECK120007674	putative K<sup>+</sup>:H<sup>+</sup> antiporter	CvrA,YcgO	 
ECK120003216	|G6621|	b1192	ldcA	ECK1180,G6621,b1192,ycgQ	1242166	1243080	reverse	 	ECK120007675	murein L,D-carboxypeptidase	LdcA,YcgQ	 
ECK120003217	|G6622|	b1193	emtA	ECK1181,G6622,b1193,mltE,sltZ,ycgP	1243180	1243791	forward	 	ECK120007676	lytic murein transglycosylase E	EmtA,MltE,SltZ,YcgP	 
ECK120003218	|G6623|	b1194	ycgR	ECK1182,G6623,b1194	1243793	1244527	reverse	 	ECK120007677	flagellar brake protein YcgR	YcgR,molecular brake that regulates flagellar motility in response to c-di-GMP	 
ECK120003219	|G6624|	b1195	ymgE	ECK1183,G6624,b1195,tag	1244728	1244982	forward	 	ECK120007678	PF04226 family protein YmgE	Tag,YmgE	 
ECK120003220	|G6625|	b1196	ycgY	ECK1184,G6625,b1196	1245160	1245600	forward	 	ECK120007679	uncharacterized protein YcgY	YcgY	 
ECK120001006	|EG11017|	b1197	treA	ECK1185,EG11017,b1197,osmA,tre	1245679	1247376	reverse	 	ECK120005482	periplasmic trehalase	OsmA,Tre,TreA	 
ECK120002261	|EG12399|	b1198	dhaM	ECK1186,EG12399,b1198,dhaH,ptsD,ycgC	1247696	1249114	reverse	 	ECK120006736	dihydroxyacetone kinase subunit M	DhaH,DhaM,PtsD,YcgC	 
ECK120003221	|G6626|	b1199	dhaL	ECK1187,G6626,b1199,dhaK2,ycgS,ysgS	1249125	1249757	reverse	 	ECK120007680	dihydroxyacetone kinase subunit L	DhaL,YcgS,YsgS	 
ECK120003222	|G6627|	b1200	dhaK	ECK1188,G6627,b1200,dhaK1,ycgT	1249768	1250838	reverse	 	ECK120007681	dihydroxyacetone kinase subunit K	DhaK,YcgT	 
ECK120003223	|G6628|	b1201	dhaR	ECK1189,G6628,b1201,ycgU	1251066	1252985	forward	 	ECK120007682	DNA-binding transcriptional dual regulator DhaR	DhaR,YcgU	 
ECK120003224	|G6629|	b1202	ycgV	ECK1190,G6629,b1202	1253085	1255952	reverse	 	ECK120007683	putative autotransporter adhesin YcgV	YcgV	 
ECK120001370	|EG11404|	b1203	ychF	ECK1191,EG11404,b1203,gtp1	1256721	1257812	reverse	 	ECK120005846	redox-responsive ATPase YchF	YchF,ribosome-binding ATPase YchF,ribosome-binding ATPase, inhibitor of catalase activity	 
ECK120000776	|EG10785|	b1204	pth	ECK1192,EG10785,b1204,rap	1257929	1258513	reverse	 	ECK120005252	peptidyl-tRNA hydrolase	Pth,Rap	 
ECK120001487	|EG11533|	b1205	ychH	ECK1193,EG11533,b1205	1258791	1259069	forward	 	ECK120005963	stress-induced protein	YchH	 
ECK120002255	|EG12392|	b1206	dauA	ECK1194,EG12392,b1206,ychM	1259124	1260803	reverse	 	ECK120006730	aerobic C4-dicarboxylate transporter DauA	DauA,YchM	 
ECK120000765	|EG10774|	b1207	prs	ECK1195,EG10774,b1207,dnaR,prsA	1260928	1261875	reverse	 	ECK120005241	ribose-phosphate diphosphokinase	DnaR,Prs,PrsA	 
ECK120001267	|EG11294|	b1208	ispE	ECK1196,EG11294,b1208,ipk,ychB	1262026	1262877	reverse	 	ECK120005743	4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase	Ipk,IspE,YchB	 
ECK120001266	|EG11293|	b1209	lolB	ECK1197,EG11293,b1209,hemM,ychC	1262877	1263500	reverse	 	ECK120005742	outer membrane lipoprotein LolB	HemM,LolB,YchC	 
ECK120000420	|EG10427|	b1210	hemA	ECK1198,EG10427,b1210,gtrA	1263714	1264970	forward	 	ECK120004896	glutamyl-tRNA reductase	GtrA,HemA	 
ECK120000752	|EG10761|	b1211	prfA	ECK1199,EG10761,b1211,sueB,uar,ups?	1265012	1266094	forward	 	ECK120005228	peptide chain release factor RF1	PrfA,SueB,Uar	 
ECK120002282	|EG12424|	b1212	prmC	ECK1200,EG12424,b1212,hemK	1266094	1266927	forward	 	ECK120006757	protein-(glutamine-<i>N</i><sup>5</sup>) methyltransferase	HemK,PrmC	 
ECK120003225	|G6630|	b1213	ychQ	ECK1201,G6630,b1213,sirB2	1266924	1267316	forward	 	ECK120007684	SirB family protein YchQ	YchQ	 
ECK120001226	|EG11251|	b1214	ychA	ECK1202,EG11251,b1214,sirB1	1267320	1268129	forward	 	ECK120005702	transglutaminase-like/TPR repeat-containing protein	YchA	 
ECK120000511	|EG10518|	b1215	kdsA	ECK1203,EG10518,b1215	1268165	1269019	forward	 	ECK120004987	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	KdsA	 
ECK120002655	|G0-9602|	b4419	ldrA	ECK1204,G0-9602,b4419	1269168	1269275	reverse	 	ECK120007129	small toxic polypeptide LdrA	LdrA	 
ECK120002656	|G0-9603|	b4420	rdlA	ECK1205,G0-9603,b4420	1269323	1269389	forward	 	ECK120007130	RdlA	RdlA antisense RNA, putative regulator of LdrA,putative antisense RNA regulator of LdrA	small RNA
ECK120002657	|G0-9605|	b4421	ldrB	ECK1206,G0-9605,b4421	1269703	1269810	reverse	 	ECK120007131	small toxic polypeptide LdrB	LdrB	 
ECK120002658	|G0-9606|	b4422	rdlB	ECK1207,G0-9606,b4422	1269858	1269923	forward	 	ECK120007132	RdlB	small regulatory antisense RNA RdlB	small RNA
ECK120002659	|G0-9607|	b4423	ldrC	ECK1208,G0-9607,b4423	1270238	1270345	reverse	 	ECK120007133	small toxic polypeptide LdrC	LdrC	 
ECK120002660	|G0-9608|	b4424	rdlC	ECK1209,G0-9608,b4424	1270393	1270460	forward	 	ECK120007134	RdlC	small regulatory antisense RNA RdlC	small RNA
ECK120001691	|EG11753|	b1216	chaA	ECK1210,EG11753,b1216	1270749	1271849	reverse	 	ECK120006167	Na<sup>+</sup>/K<sup>+</sup>:H<sup>+</sup> antiporter ChaA	ChaA	 
ECK120002264	|EG12402|	b1217	chaB	ECK1211,EG12402,b1217	1272119	1272349	forward	 	ECK120006739	putative cation transport regulator ChaB	ChaB	 
ECK120002265	|EG12403|	b1218	chaC	ECK1212,EG12403,b1218	1272507	1273202	forward	 	ECK120006740	glutathione-specific &gamma;-glutamylcyclotransferase	ChaC	 
